plz,ort,bundesland,landkreis
01945,Grünewald,Brandenburg,Landkreis Oberspreewald-Lausitz
01945,Lindenau,Brandenburg,Landkreis Oberspreewald-Lausitz
01945,Hohenbocka,Brandenburg,Landkreis Oberspreewald-Lausitz
01945,Schwarzbach,Brandenburg,Landkreis Oberspreewald-Lausitz
01945,Guteborn,Brandenburg,Landkreis Oberspreewald-Lausitz
01945,Hermsdorf,Brandenburg,Landkreis Oberspreewald-Lausitz
01945,Ruhland,Brandenburg,Landkreis Oberspreewald-Lausitz
01945,Tettau,Brandenburg,Landkreis Oberspreewald-Lausitz
01945,Kroppen,Brandenburg,Landkreis Oberspreewald-Lausitz
01968,Schipkau Hörlitz,Brandenburg,Landkreis Oberspreewald-Lausitz
01968,Senftenberg,Brandenburg,Landkreis Oberspreewald-Lausitz
01968,Schipkau,Brandenburg,Landkreis Oberspreewald-Lausitz
01979,Lauchhammer,Brandenburg,Landkreis Oberspreewald-Lausitz
01983,Neu-Seeland,Brandenburg,Landkreis Oberspreewald-Lausitz
01983,Großräschen,Brandenburg,Landkreis Oberspreewald-Lausitz
01987,Schwarzheide,Brandenburg,Landkreis Oberspreewald-Lausitz
01990,Ortrand,Brandenburg,Landkreis Oberspreewald-Lausitz
01990,Großkmehlen,Brandenburg,Landkreis Oberspreewald-Lausitz
01990,Frauendorf,Brandenburg,Landkreis Oberspreewald-Lausitz
01993,Schipkau Schipkau,Brandenburg,Landkreis Oberspreewald-Lausitz
01993,Schipkau,Brandenburg,Landkreis Oberspreewald-Lausitz
01994,"Schipkau Annahütte, Annahütte",Brandenburg,Landkreis Oberspreewald-Lausitz
01994,"Schipkau Annahütte, Karl-Marx-Siedlung",Brandenburg,Landkreis Oberspreewald-Lausitz
01994,Schipkau Drochow,Brandenburg,Landkreis Oberspreewald-Lausitz
01994,Schipkau,Brandenburg,Landkreis Oberspreewald-Lausitz
01994,Schipkau Meuro,Brandenburg,Landkreis Oberspreewald-Lausitz
01994,Schipkau Annahütte,Brandenburg,Landkreis Oberspreewald-Lausitz
01994,"Schipkau Annahütte, Annahütte-Siedlung",Brandenburg,Landkreis Oberspreewald-Lausitz
01994,"Schipkau Annahütte, Herrnnmühle",Brandenburg,Landkreis Oberspreewald-Lausitz
01996,Hosena,Brandenburg,Landkreis Oberspreewald-Lausitz
01998,Schipkau,Brandenburg,Landkreis Oberspreewald-Lausitz
01998,Schipkau Meuro,Brandenburg,Landkreis Oberspreewald-Lausitz
01998,Schipkau Klettwitz,Brandenburg,Landkreis Oberspreewald-Lausitz
03042,Cottbus,Brandenburg,Kreisfreie Stadt Cottbus
03044,Cottbus,Brandenburg,Kreisfreie Stadt Cottbus
03046,Cottbus,Brandenburg,Kreisfreie Stadt Cottbus
03048,Cottbus,Brandenburg,Kreisfreie Stadt Cottbus
03050,Cottbus,Brandenburg,Kreisfreie Stadt Cottbus
03051,Cottbus,Brandenburg,Kreisfreie Stadt Cottbus
03052,Cottbus,Brandenburg,Kreisfreie Stadt Cottbus
03053,Cottbus,Brandenburg,Kreisfreie Stadt Cottbus
03054,Cottbus,Brandenburg,Kreisfreie Stadt Cottbus
03055,Cottbus,Brandenburg,Kreisfreie Stadt Cottbus
03058,Groß Oßnig,Brandenburg,Landkreis Spree-Neiße
03058,Groß Döbbern,Brandenburg,Landkreis Spree-Neiße
03058,Haasow,Brandenburg,Landkreis Spree-Neiße
03058,Klein Döbbern,Brandenburg,Landkreis Spree-Neiße
03058,Neuhausen,Brandenburg,Landkreis Spree-Neiße
03058,Kathlow,Brandenburg,Landkreis Spree-Neiße
03058,Sergen,Brandenburg,Landkreis Spree-Neiße
03058,Koppatz,Brandenburg,Landkreis Spree-Neiße
03058,Gablenz,Brandenburg,Landkreis Spree-Neiße
03058,Groß Gaglow,Brandenburg,Kreisfreie Stadt Cottbus
03058,Frauendorf,Brandenburg,Landkreis Spree-Neiße
03058,Kiekebusch,Brandenburg,Kreisfreie Stadt Cottbus
03058,Roggosen,Brandenburg,Landkreis Spree-Neiße
03058,Komptendorf,Brandenburg,Landkreis Spree-Neiße
03058,Laubsdorf,Brandenburg,Landkreis Spree-Neiße
03058,Gallinchen,Brandenburg,Kreisfreie Stadt Cottbus
03096,Briesen,Brandenburg,Landkreis Spree-Neiße
03096,Guhrow,Brandenburg,Landkreis Spree-Neiße
03096,Schmogrow-Fehrow,Brandenburg,Landkreis Spree-Neiße
03096,Werben,Brandenburg,Landkreis Spree-Neiße
03096,Dissen-Striesow,Brandenburg,Landkreis Spree-Neiße
03096,Burg (Spreewald),Brandenburg,Landkreis Spree-Neiße
03099,Kolkwitz,Brandenburg,Landkreis Spree-Neiße
03103,Neu-Seeland,Brandenburg,Landkreis Oberspreewald-Lausitz
03103,Neupetershain,Brandenburg,Landkreis Oberspreewald-Lausitz
03116,Drebkau,Brandenburg,Landkreis Spree-Neiße
03119,Welzow,Brandenburg,Landkreis Spree-Neiße
03130,Reuthen,Brandenburg,Landkreis Spree-Neiße
03130,Türkendorf,Brandenburg,Landkreis Spree-Neiße
03130,Proschim,Brandenburg,Landkreis Spree-Neiße
03130,Graustein,Brandenburg,Landkreis Spree-Neiße
03130,Hornow-Wadelsdorf,Brandenburg,Landkreis Spree-Neiße
03130,Bagenz,Brandenburg,Landkreis Spree-Neiße
03130,Lieskau,Brandenburg,Landkreis Spree-Neiße
03130,Groß Luja,Brandenburg,Landkreis Spree-Neiße
03130,Haidemühl,Brandenburg,Landkreis Spree-Neiße
03130,Wolfshain,Brandenburg,Landkreis Spree-Neiße
03130,Tschernitz,Brandenburg,Landkreis Spree-Neiße
03130,Spremberg,Brandenburg,Landkreis Spree-Neiße
03130,Drieschnitz-Kahsel,Brandenburg,Landkreis Spree-Neiße
03130,Jämlitz-Klein Düben,Brandenburg,Landkreis Spree-Neiße
03130,Felixsee,Brandenburg,Landkreis Spree-Neiße
03139,Terpe,Brandenburg,Landkreis Spree-Neiße
03149,Forst (Lausitz),Brandenburg,Landkreis Spree-Neiße
03149,Wiesengrund,Brandenburg,Landkreis Spree-Neiße
03149,Groß Schacksdorf-Simmersdorf,Brandenburg,Landkreis Spree-Neiße
03159,Döbern,Brandenburg,Landkreis Spree-Neiße
03159,Neiße-Malxetal,Brandenburg,Landkreis Spree-Neiße
03159,Wiesengrund,Brandenburg,Landkreis Spree-Neiße
03172,Atterwasch,Brandenburg,Landkreis Spree-Neiße
03172,Bärenklau,Brandenburg,Landkreis Spree-Neiße
03172,Grabko,Brandenburg,Landkreis Spree-Neiße
03172,Guben,Brandenburg,Landkreis Spree-Neiße
03172,Pinnow-Heideland,Brandenburg,Landkreis Spree-Neiße
03172,Grießen,Brandenburg,Landkreis Spree-Neiße
03172,Gastrose-Kerkwitz,Brandenburg,Landkreis Spree-Neiße
03172,Lutzketal,Brandenburg,Landkreis Spree-Neiße
03185,Drehnow,Brandenburg,Landkreis Spree-Neiße
03185,Peitz,Brandenburg,Landkreis Spree-Neiße
03185,Grötsch,Brandenburg,Landkreis Spree-Neiße
